Jugador[9], 21:34:42, 21:34:42
Jugador[11], 21:34:42, 21:34:42
Jugador[12], 21:34:43, 21:34:43
Jugador[17], 21:34:44, 21:34:44
Jugador[27], 21:34:47, 21:34:47
Jugador[28], 21:34:48, 21:34:48
Jugador[29], 21:34:48, 21:34:48
Jugador[30], 21:34:48, 21:34:48
Jugador[31], 21:34:48, 21:34:48
Jugador[32], 21:34:49, 21:34:49
Jugador[36], 21:34:50, 21:34:50
Jugador[40], 21:34:51, 21:34:51
Jugador[41], 21:34:52, 21:34:52
Jugador[42], 21:34:52, 21:34:52
Jugador[48], 21:34:54, 21:34:54
Jugador[57], 21:34:57, 21:35:01
Jugador[70], 21:35:01, 21:35:01
Jugador[58], 21:34:57, 21:35:01
Jugador[62], 21:34:58, 21:35:01
Jugador[60], 21:34:57, 21:35:01
Jugador[73], 21:35:01, 21:35:01
Jugador[77], 21:35:03, 21:35:03
Jugador[81], 21:35:04, 21:35:04
Jugador[89], 21:35:06, 21:35:06
Jugador[92], 21:35:07, 21:35:07
Jugador[99], 21:35:10, 21:35:10
Jugador[102], 21:35:10, 21:35:10
Jugador[104], 21:35:11, 21:35:11
Jugador[107], 21:35:12, 21:35:12
Jugador[109], 21:35:13, 21:35:13
Jugador[113], 21:35:14, 21:35:20
Jugador[114], 21:35:14, 21:35:20
